ID,domain,title,abstract,Related (or similar) to the dataset,Venue,Doi,annotated
A1,Autonomous Vehicles,Artificial Intelligence and Internet of Things for Autonomous Vehicles,"Artificial Intelligence (AI) is a machine intelligence tool providing enormous possibilities for smart industrial revolution. Internet of Things (IoT) is the axiom of industry 4.0 revolution, including a worldwide infrastructure for collecting and processing of the data/information from storage, actuation, sensing, advanced services and communication technologies. The combination of high-speed, resilient, low-latency connectivity, and technologies of AI and IoT will enable the transformation towards fully smart Autonomous Vehicle (AV) that illustrate the complementary between real world and digital knowledge for industry 4.0. The purpose of this article is to examine how the latest approaches in AI and IoT can assist in the search for the Autonomous Vehicles. It has been shown that human errors are the source of 90% of automotive crashes, and the safest drivers drive ten times better than the average (Wu et al. Accident Analysis and Prevention, 117, 21–31, 2018). The automated vehicle safety is significant, and users are requiring 1000 times smaller acceptable risk level. Some of the incredible benefits of AVs are: (1) increasing vehicle safety, (2) reduction of accidents, (3) reduction of fuel consumption, (4) releasing of driver time and business opportunities, (5) new potential market opportunities, and (6) reduced emissions and dust particles. However, AVs must use large-scale data/information from their sensors and devices.",,Conference,https://doi.org/10.1007/978-3-030-18963-1_2,Yes
A2,Health,Machine Learning-Based Aggression Detection in Children with ADHD Using Sensor-Based Physical Activity Monitoring,"Aggression in children is highly prevalent and can have devastating consequences, yet there is currently no objective method to track its frequency in daily life. This study aims to investigate the use of wearable-sensor-derived physical activity data and machine learning to objectively identify physical-aggressive incidents in children. Participants (n = 39) aged 7 to 16 years, with and without ADHD, wore a waist-worn activity monitor (ActiGraph, GT3X+) for up to one week, three times over 12 months, while demographic, anthropometric, and clinical data were collected. Machine learning techniques, specifically random forest, were used to analyze patterns that identify physical-aggressive incident with 1-min time resolution. A total of 119 aggression episodes, lasting 7.3 ± 13.1 min for a total of 872 1-min epochs including 132 physical aggression epochs, were collected. The model achieved high precision (80.2%), accuracy (82.0%), recall (85.0%), F1 score (82.4%), and area under the curve (89.3%) to distinguish physical aggression epochs. The sensor-derived feature of vector magnitude (faster triaxial acceleration) was the second contributing feature in the model, and significantly distinguished aggression and non-aggression epochs. If validated in larger samples, this model could provide a practical and efficient solution for remotely detecting and managing aggressive incidents in children.",,Q2 journal,https://doi.org/10.3390/s23104949,Yes
A3,NLP,A Streaming Machine Learning Framework for Online Aggression Detection on Twitter,"The rise of online aggression on social media is evolving into a major point of concern. Several machine and deep learning approaches have been proposed recently for detecting various types of aggressive behavior. However, social media are fast-paced, generating an increasing amount of content, while aggressive behavior evolves over time. In this work, we introduce the first, practical, real-time framework for detecting aggression on Twitter via embracing the streaming machine learning paradigm. Our method adapts its ML classifiers in an incremental fashion as it receives new annotated examples and is able to achieve the same (or even higher) performance as batch-based ML models, with over 90% accuracy, precision, and recall. At the same time, our experimental analysis on real Twitter data reveals how our framework can easily scale to accommodate the entire Twitter Firehose (of 778 million tweets per day) with only 3 commodity machines. Finally, we show that our framework is general enough to detect other related behaviors such as sarcasm, racism, and sexism in real time.",,Conference,10.1109/BigData50022.2020.9377980,Yes
A4,Autonomous Vehicles,APPLICATION OF DRONES WITH ARTIFICIAL INTELLIGENCE FOR MILITARY PURPOSES,"One does not have to look far to see how Artificial Intelligence (AI) - the ability of machines to perform tasks that typically require human intelligence - is transforming the international security environment in which all involved security forces operate. Due to its cross-cutting nature, AI will pose a broad set of international security challenges, affecting both traditional military capabilities and the realm of hybrid threats, and will likewise provide new opportunities to respond to them. AI will have an impact on all of the core tasks of every collective defense, crisis management, and cooperative security system. With new opportunities, risks, and threats to prosperity and security at stake, the promise and peril associated with this foundational technology are too vast for any single actor to manage alone. As a result, cooperation is inherently needed to equally mitigate international security risks, as well as to capitalize on the technology’s potential to transform enterprise functions, mission support, and operations.",,Conference,http://www.vti.mod.gov.rs/oteh22/elementi/rad/075.pdf,Yes
A5,Autonomous Vehicles,"Case studies on the usability, acceptability and functionality of autonomous mobile delivery robots in real-world healthcare settings","Autonomous mobile delivery robots are used as a way to improve efficiency in hospitals and reduce staff workload amongst a growing workforce shortage in healthcare. These two case studies investigated the usability, acceptability and functionality of two GoCart delivery robots at two different healthcare settings. The GoCart robots assisted with delivering blood and urine samples at a pathology laboratory and delivering meals at a residential care facility during a two-week period. A total of 50 participants (direct and secondary users, and managers) were interviewed about their experiences with the robot and answered questions about its design and functionality, safety and security, usability and their overall attitudes towards having the robot at their facility. Results showed that the participants from both sites thought the robots could be a good addition to their facilities to improve efficiency and reduce staff workload. The robot was received more positively at the residential care facility than the pathology laboratory. Improvements still need to be made to adapt the robots to each site before implementing the GoCarts long term, including changes to the size and screen. These case studies demonstrate that autonomous mobile delivery robots could be a useful addition to residential care facilities and pathology laboratory sites. Overall, this research adds to the current evidence showing potential uses for delivery robots and highlights important design considerations.",,Q1 journal,,Yes
A6,Autonomous Vehicles,Forward Collision Avoidance Systems Considering Driver's Driving Behavior Recognized by Gaussian Mixture Model,"Although it is well known that driver's intention and driving behavior have great influence on the performance of the advanced driver assistance systems (ADAS), little consideration has been taken in the design of the existing systems. To improve the system performance, in particular, the acceptance and adaption of ADAS to human drivers, it is important to understand human drivers' intention and driving behavior that makes the systems more human-like or personalized for forward collision avoidance (FCA) and autonomous emergency braking (AEB). The research presented in this paper proposed a method to recognize driver's intention and driving behavior based on Gaussian Mixture Model (GMM). A typical testing scenarios of longitudinal braking case was created under a real-time driving simulator with both PanoSim-RT® and dSPACE®. The samples with 36 drivers were used for the testing, and the driving data were collected, analyzed and further employed in driving behavior recognition via a Gaussian mixture model. An optimization method was taken in model parameter identification. The parameters were used in the control design of FCA systems. Compared with existing FCA systems, the proposed personalized systems have demonstrated advantages in both performance and human acceptance.",,Conference,10.1109/IVS.2017.7995773,Yes
A7,Health,Behavioral Modeling for Mental Health using Machine Learning Algorithms,"Mental health is an indicator of emotional, psychological and social well-being of an individual. It determines how an individual thinks, feels and handle situations. Positive mental health helps one to work productively and realize their full potential. Mental health is important at every stage of life, from childhood and adolescence through adulthood. Many factors contribute to mental health problems which lead to mental illness like stress, social anxiety, depression, obsessive compulsive disorder, drug addiction, and personality disorders. It is becoming increasingly important to determine the onset of the mental illness to maintain proper life balance. The nature of machine learning algorithms and Artificial Intelligence (AI) can be fully harnessed for predicting the onset of mental illness. Such applications when implemented in real time will benefit the society by serving as a monitoring tool for individuals with deviant behavior. This research work proposes to apply various machine learning algorithms such as support vector machines, decision trees, naïve Bayes classifier, K-nearest neighbor classifier and logistic regression to identify state of mental health in a target group. The responses obtained from the target group for the designed questionnaire were first subject to unsupervised learning techniques. The labels obtained as a result of clustering were validated by computing the Mean Opinion Score. These cluster labels were then used to build classifiers to predict the mental health of an individual. Population from various groups like high school students, college students and working professionals were considered as target groups. The research presents an analysis of applying the aforementioned machine learning algorithms on the target groups and also suggests directions for future work.",,Q2 journal,https://doi.org/10.1007/s10916-018-0934-5,Yes
A8,Security,Machine Learning Techniques for Anomaly Detection in Smart Healthcare,"Anomaly detection is a vital research problem among the different domains intrusion detection, fraud detection, device health monitoring, fault data detection, event detection in sensor networks. Anomalies mean an outlier, noise, novelties, exceptions which do not match the expected behavior of the system. Machine learning techniques work well in identifying these abnormal patterns. In this paper, the unsupervised clustering technique K-means, and its variation K-medoids partitioning are applied to detect anomalies. Sensor-embedded wearable devices are allowing smart healthcare services for people even in remote areas. These devices support continuous monitoring of people's health and allow the caregivers to provide better health assistance. Early-stage anomaly detection in such types of smart healthcare practices increases the efficiency of health services. In experimental discussion, K-means, and K-medoids partitioning clustering algorithms are assessed, and their performance is addressed.",,Conference,10.1109/ICIRCA51532.2021.9544795,Yes
A9,Health,Coronary Heart Disease Diagnosis Through Self-Organizing Map and Fuzzy Support Vector Machine with Incremental Updates,"The trade-off between computation time and predictive accuracy is important in the design and implementation of clinical decision support systems. Machine learning techniques with incremental updates have proven their usefulness in analyzing large collections of medical datasets for disease diagnosis. This research aims to develop a predictive method for heart disease diagnosis using machine learning techniques. To this end, the proposed method is developed by unsupervised and supervised learning techniques. In particular, this research relies on Principal Component Analysis (PCA), Self-Organizing Map, Fuzzy Support Vector Machine (Fuzzy SVM), and two imputation techniques for missing value imputation. Furthermore, we apply the incremental PCA and FSVM for incremental learning of the data to reduce the computation time of disease prediction. Our data analysis on two real-world datasets, Cleveland and Statlog, showed that the use of incremental Fuzzy SVM can significantly improve the accuracy of heart disease classification. The experimental results further revealed that the method is effective in reducing the computation time of disease diagnosis in relation to the non-incremental learning technique.",Cleveland heart disease dataset,Q1 journal,https://doi.org/10.1007/s40815-020-00828-7,Yes
A10,Health,A Machine Learning Approach to Predicting Blood Glucose Levels for Diabetes Management,"Patients with diabetes must continually monitor their blood glucose levels and adjust insulin doses, striving to keep blood glucose levels as close to normal as possible. Blood glucose levels that deviate from the normal range can lead to serious short-term and long-term complications. An automatic prediction model that warned people of imminent changes in their blood glucose levels would enable them to take preventive action. In this paper, we describe a solution that uses a generic physiological model of blood glucose dynamics to generate informative features for a Support Vector Regression model that is trained on patient-specific data. The new model outperforms diabetes experts at predicting blood glucose levels and could be used to anticipate almost a quarter of hypoglycemic events 30 minutes in advance. Although the corresponding precision is currently just 42%, most false alarms are in near-hypoglycemic regions, and therefore, patients responding to these hypo-glycemia alerts would not be harmed by intervention.",,Q1 journal,https://cdn.aaai.org/ocs/ws/ws1170/8737-38029-1-PB.pdf,Yes
